series,run,radius,exec_ms,plan
rpc=4,1,1118.0,6.949,Index Scan
rpc=4,1,1581.0,9.563,Index Scan
rpc=4,1,2236.0,17.163,Index Scan
rpc=4,1,3536.0,39.128,Index Scan
rpc=4,1,5000.0,65.278,Bitmap Heap Scan
rpc=4,1,7071.0,89.81,Parallel Bitmap Heap Scan
rpc=4,1,11180.0,105.976,Parallel Bitmap Heap Scan
rpc=4,1,15811.0,138.497,Parallel Bitmap Heap Scan
rpc=4,1,22361.0,231.236,Parallel Bitmap Heap Scan
rpc=4,1,25000.0,266.503,Parallel Bitmap Heap Scan
rpc=30,1,1118.0,5.958,Index Scan
rpc=30,1,1581.0,7.534,Index Scan
rpc=30,1,2236.0,16.098,Bitmap Heap Scan
rpc=30,1,3536.0,36.725,Bitmap Heap Scan
rpc=30,1,5000.0,72.749,Bitmap Heap Scan
rpc=30,1,7071.0,88.05,Parallel Bitmap Heap Scan
rpc=30,1,11180.0,113.897,Parallel Bitmap Heap Scan
rpc=30,1,15811.0,145.514,Parallel Bitmap Heap Scan
rpc=30,1,22361.0,209.547,Parallel Bitmap Heap Scan
rpc=30,1,25000.0,248.719,Parallel Bitmap Heap Scan
rpc=4,2,1118.0,5.695,Index Scan
rpc=4,2,1581.0,7.405,Index Scan
rpc=4,2,2236.0,16.954,Index Scan
rpc=4,2,3536.0,42.313,Index Scan
rpc=4,2,5000.0,66.294,Bitmap Heap Scan
rpc=4,2,7071.0,91.869,Parallel Bitmap Heap Scan
rpc=4,2,11180.0,112.239,Parallel Bitmap Heap Scan
rpc=4,2,15811.0,144.7,Parallel Bitmap Heap Scan
rpc=4,2,22361.0,210.041,Parallel Bitmap Heap Scan
rpc=4,2,25000.0,255.325,Parallel Bitmap Heap Scan
rpc=30,2,1118.0,6.05,Index Scan
rpc=30,2,1581.0,7.255,Index Scan
rpc=30,2,2236.0,15.978,Bitmap Heap Scan
rpc=30,2,3536.0,37.918,Bitmap Heap Scan
rpc=30,2,5000.0,72.951,Bitmap Heap Scan
rpc=30,2,7071.0,88.599,Parallel Bitmap Heap Scan
rpc=30,2,11180.0,105.519,Parallel Bitmap Heap Scan
rpc=30,2,15811.0,142.226,Parallel Bitmap Heap Scan
rpc=30,2,22361.0,216.338,Parallel Bitmap Heap Scan
rpc=30,2,25000.0,250.063,Parallel Bitmap Heap Scan
rpc=4,3,1118.0,6.1,Index Scan
rpc=4,3,1581.0,6.839,Index Scan
rpc=4,3,2236.0,27.671,Index Scan
rpc=4,3,3536.0,34.134,Index Scan
rpc=4,3,5000.0,65.658,Bitmap Heap Scan
rpc=4,3,7071.0,126.126,Parallel Bitmap Heap Scan
rpc=4,3,11180.0,110.064,Parallel Bitmap Heap Scan
rpc=4,3,15811.0,141.627,Parallel Bitmap Heap Scan
rpc=4,3,22361.0,211.704,Parallel Bitmap Heap Scan
rpc=4,3,25000.0,243.783,Parallel Bitmap Heap Scan
rpc=30,3,1118.0,5.915,Index Scan
rpc=30,3,1581.0,7.082,Index Scan
rpc=30,3,2236.0,16.063,Bitmap Heap Scan
rpc=30,3,3536.0,38.125,Bitmap Heap Scan
rpc=30,3,5000.0,69.669,Bitmap Heap Scan
rpc=30,3,7071.0,88.221,Parallel Bitmap Heap Scan
rpc=30,3,11180.0,109.517,Parallel Bitmap Heap Scan
rpc=30,3,15811.0,140.715,Parallel Bitmap Heap Scan
rpc=30,3,22361.0,208.21,Parallel Bitmap Heap Scan
rpc=30,3,25000.0,254.507,Parallel Bitmap Heap Scan
rpc=4,4,1118.0,5.651,Index Scan
rpc=4,4,1581.0,7.286,Index Scan
rpc=4,4,2236.0,13.643,Index Scan
rpc=4,4,3536.0,33.98,Index Scan
rpc=4,4,5000.0,65.034,Bitmap Heap Scan
rpc=4,4,7071.0,88.256,Parallel Bitmap Heap Scan
rpc=4,4,11180.0,108.345,Parallel Bitmap Heap Scan
rpc=4,4,15811.0,150.375,Parallel Bitmap Heap Scan
rpc=4,4,22361.0,223.858,Parallel Bitmap Heap Scan
rpc=4,4,25000.0,247.824,Parallel Bitmap Heap Scan
rpc=30,4,1118.0,7.947,Index Scan
rpc=30,4,1581.0,7.89,Index Scan
rpc=30,4,2236.0,22.042,Bitmap Heap Scan
rpc=30,4,3536.0,36.583,Bitmap Heap Scan
rpc=30,4,5000.0,69.393,Bitmap Heap Scan
rpc=30,4,7071.0,87.796,Parallel Bitmap Heap Scan
rpc=30,4,11180.0,107.23,Parallel Bitmap Heap Scan
rpc=30,4,15811.0,142.112,Parallel Bitmap Heap Scan
rpc=30,4,22361.0,207.614,Parallel Bitmap Heap Scan
rpc=30,4,25000.0,247.257,Parallel Bitmap Heap Scan
rpc=4,5,1118.0,6.195,Index Scan
rpc=4,5,1581.0,6.769,Index Scan
rpc=4,5,2236.0,14.127,Index Scan
rpc=4,5,3536.0,35.031,Index Scan
rpc=4,5,5000.0,65.322,Bitmap Heap Scan
rpc=4,5,7071.0,87.079,Parallel Bitmap Heap Scan
rpc=4,5,11180.0,105.883,Parallel Bitmap Heap Scan
rpc=4,5,15811.0,138.774,Parallel Bitmap Heap Scan
rpc=4,5,22361.0,233.58,Parallel Bitmap Heap Scan
rpc=4,5,25000.0,246.313,Parallel Bitmap Heap Scan
rpc=30,5,1118.0,5.957,Index Scan
rpc=30,5,1581.0,7.242,Index Scan
rpc=30,5,2236.0,16.094,Bitmap Heap Scan
rpc=30,5,3536.0,37.449,Bitmap Heap Scan
rpc=30,5,5000.0,72.8,Bitmap Heap Scan
rpc=30,5,7071.0,86.525,Parallel Bitmap Heap Scan
rpc=30,5,11180.0,111.406,Parallel Bitmap Heap Scan
rpc=30,5,15811.0,141.762,Parallel Bitmap Heap Scan
rpc=30,5,22361.0,213.426,Parallel Bitmap Heap Scan
rpc=30,5,25000.0,263.483,Parallel Bitmap Heap Scan
