series,run,radius,exec_ms,plan
rpc=4,1,1262.0,18.015,Parallel Bitmap Heap Scan
rpc=4,1,1784.0,20.198,Parallel Bitmap Heap Scan
rpc=4,1,2523.0,23.173,Parallel Bitmap Heap Scan
rpc=4,1,3989.0,40.79,Parallel Bitmap Heap Scan
rpc=4,1,5642.0,65.393,Parallel Bitmap Heap Scan
rpc=4,1,7979.0,80.997,Parallel Bitmap Heap Scan
rpc=4,1,12616.0,118.856,Parallel Bitmap Heap Scan
rpc=4,1,17841.0,135.719,Parallel Bitmap Heap Scan
rpc=4,1,25231.0,338.196,Parallel Bitmap Heap Scan
rpc=4,1,28209.0,472.02,Parallel Bitmap Heap Scan
rpc=30,1,1262.0,13.593,Parallel Bitmap Heap Scan
rpc=30,1,1784.0,19.711,Parallel Bitmap Heap Scan
rpc=30,1,2523.0,18.476,Parallel Bitmap Heap Scan
rpc=30,1,3989.0,38.256,Parallel Bitmap Heap Scan
rpc=30,1,5642.0,67.772,Parallel Bitmap Heap Scan
rpc=30,1,7979.0,88.06,Parallel Bitmap Heap Scan
rpc=30,1,12616.0,103.629,Parallel Bitmap Heap Scan
rpc=30,1,17841.0,136.238,Parallel Bitmap Heap Scan
rpc=30,1,25231.0,275.052,Parallel Bitmap Heap Scan
rpc=30,1,28209.0,258.379,Parallel Bitmap Heap Scan
rpc=4,2,1262.0,12.911,Parallel Bitmap Heap Scan
rpc=4,2,1784.0,12.977,Parallel Bitmap Heap Scan
rpc=4,2,2523.0,18.415,Parallel Bitmap Heap Scan
rpc=4,2,3989.0,39.548,Parallel Bitmap Heap Scan
rpc=4,2,5642.0,66.002,Parallel Bitmap Heap Scan
rpc=4,2,7979.0,84.281,Parallel Bitmap Heap Scan
rpc=4,2,12616.0,128.918,Parallel Bitmap Heap Scan
rpc=4,2,17841.0,149.901,Parallel Bitmap Heap Scan
rpc=4,2,25231.0,211.546,Parallel Bitmap Heap Scan
rpc=4,2,28209.0,254.271,Parallel Bitmap Heap Scan
rpc=30,2,1262.0,12.357,Parallel Bitmap Heap Scan
rpc=30,2,1784.0,12.387,Parallel Bitmap Heap Scan
rpc=30,2,2523.0,19.108,Parallel Bitmap Heap Scan
rpc=30,2,3989.0,39.081,Parallel Bitmap Heap Scan
rpc=30,2,5642.0,65.108,Parallel Bitmap Heap Scan
rpc=30,2,7979.0,82.729,Parallel Bitmap Heap Scan
rpc=30,2,12616.0,106.356,Parallel Bitmap Heap Scan
rpc=30,2,17841.0,142.872,Parallel Bitmap Heap Scan
rpc=30,2,25231.0,206.419,Parallel Bitmap Heap Scan
rpc=30,2,28209.0,242.494,Parallel Bitmap Heap Scan
